product_name,price,year_mileage,location
Daihatsu Sigra,Rp 108.000.000,2023 - 15.000-20.000 km,Grogol PetamburanHari ini
Daihatsu Sigra,Rp 108.000.000,2023 - 15.000-20.000 km,CengkarengHari ini
Toyota Kijang Innova,Rp 342.000.000,2021 - 40.000-45.000 km,Duren SawitHari ini
Honda Mobilio,Rp 115.000.000,2014 - 100.000-105.000 km,PancoranHari ini
Honda CR-V,Rp 335.000.000,2019 - 185.000-190.000 km,KembanganHari ini
Honda HR-V,Rp 335.000.000,2021 - 15.000-20.000 km,CilandakHari ini
BMW 320i,Rp 375.000.000,2016 - 45.000-50.000 km,CilandakHari ini
Toyota Camry,Rp 375.000.000,2019 - 115.000-120.000 km,CakungHari ini
Daihatsu Xenia,Rp 86.500.000,2012 - 115.000-120.000 km,KalideresHari ini
Honda Mobilio,Rp 152.000.000,2017 - 20.000-25.000 km,CibuburHari ini
Honda Mobilio,Rp 152.000.000,2017 - 20.000-25.000 km,PademanganHari ini
Toyota Avanza,Rp 105.000.000,2013 - 195.000-200.000 km,Pademangan07 Des
Nissan Grand livina,Rp 119.000.000,2017 - 90.000-95.000 km,Kalideres5 hari yang lalu
Toyota Kijang Innova,Rp 239.000.000,2017 - 30.000-35.000 km,CakungKemarin
Daihatsu Luxio,Rp 139.000.000,2017 - 95.000-100.000 km,Pasar Minggu4 hari yang lalu
Toyota Alphard,Rp 880.000.000,2019 - 35.000-40.000 km,Kebayoran Baru07 Des
Jeep Sahara,Rp 700.000.000,2012 - 50.000-55.000 km,Kebon Jeruk6 hari yang lalu
Honda City,Rp 193.000.000,2017 - 15.000-20.000 km,Pasar Minggu12 Des
Mitsubishi Xpander,Rp 196.000.000,2019 - 75.000-80.000 km,Cilandak07 Des
Honda Mobilio,Rp 152.000.000,2017 - 20.000-25.000 km,CipayungHari ini
Honda Mobilio,Rp 152.000.000,2017 - 20.000-25.000 km,CakungHari ini
Honda Mobilio,Rp 152.000.000,2017 - 20.000-25.000 km,TebetHari ini
Honda Mobilio,Rp 152.000.000,2017 - 20.000-25.000 km,Pasar MingguHari ini
Honda Mobilio,Rp 152.000.000,2017 - 20.000-25.000 km,CilandakHari ini
Honda Mobilio,Rp 152.000.000,2017 - 20.000-25.000 km,KemayoranHari ini
Honda Mobilio,Rp 152.000.000,2017 - 20.000-25.000 km,Kebon JerukHari ini
Honda Mobilio,Rp 152.000.000,2017 - 20.000-25.000 km,Grogol PetamburanHari ini
Honda Mobilio,Rp 152.000.000,2017 - 20.000-25.000 km,CengkarengHari ini
Mini Cooper Mini Cooper,Rp 450.000.000,2013 - 50.000-55.000 km,KemangHari ini
Suzuki Karimun,Rp 75.000.000,2006 - 135.000-140.000 km,CibuburHari ini
Hyundai Palisade,Rp 719.500.000,2021 - 15.000-20.000 km,CilandakHari ini
Toyota Rush,Rp 208.000.000,2019 - 40.000-45.000 km,Setia Budi07 Des
Honda Brio,Rp 179.000.000,2021 - 40.000-45.000 km,Kelapa GadingKemarin
Daihatsu Sigra,Rp 104.500.000,2018 - 95.000-100.000 km,Grogol Petamburan5 hari yang lalu
Toyota Avanza,Rp 126.500.000,2015 - 125.000-130.000 km,Tanjung Duren27 Nov
Wuling Almaz,Rp 204.000.000,2019 - 25.000-30.000 km,Duren Sawit2 hari yang lalu
Toyota Fortuner,Rp 346.500.000,2016 - 90.000-95.000 km,Gambir12 Okt
Toyota Yaris,Rp 199.500.000,2018 - 40.000-45.000 km,Kebon JerukKemarin
Daihatsu Sigra,Rp 125.000.000,2019 - 85.000-90.000 km,Cibubur02 Des
Smart Fortwo,Rp 250.000.000,2013 - 15.000-20.000 km,CilandakHari ini
Toyota Fortuner,Rp 445.000.000,2020 - 65.000-70.000 km,Tanah AbangHari ini
Toyota Voxy,Rp 348.000.000,2018 - 15.000-20.000 km,SenenHari ini
Toyota Rush,Rp 128.000.000,2013 - 100.000-105.000 km,KembanganHari ini
Honda CR-V,Rp 138.000.000,2010 - 100.000-105.000 km,CilandakHari ini
Honda Brio,Rp 96.000.000,2014 - 35.000-40.000 km,KembanganHari ini
Honda Brio,Rp 96.000.000,2014 - 35.000-40.000 km,KembanganHari ini
Honda CR-V,Rp 265.000.000,2016 - 50.000-55.000 km,MatramanHari ini
Mitsubishi Pajero Sport,Rp 435.000.000,2019 - 45.000-50.000 km,Kelapa GadingHari ini
Toyota Land Cruiser,Rp 825.000.000,2008 - 135.000-140.000 km,Duren SawitHari ini
Toyota Altis,Rp 265.000.000,2019 - 60.000-65.000 km,CakungHari ini
Toyota Kijang Innova,Rp 235.000.000,2017 - 90.000-95.000 km,Kebayoran LamaHari ini
Toyota Fortuner,Rp 400.000.000,2019 - 90.000-95.000 km,Pancoran07 Des
Wuling Almaz,Rp 197.000.000,2019 - 80.000-85.000 km,Kelapa Gading30 Nov
Honda HR-V,Rp 188.000.000,2016 - 90.000-95.000 km,Ciracas6 hari yang lalu
Toyota Yaris,Rp 148.500.000,2017 - 75.000-80.000 km,Grogol Petamburan6 hari yang lalu
Honda HR-V,Rp 178.000.000,2015 - 55.000-60.000 km,Tambora02 Des
Honda Freed,Rp 169.000.000,2015 - 80.000-85.000 km,Kramat Jati4 hari yang lalu
Suzuki Ignis,Rp 126.000.000,2018 - 20.000-25.000 km,CibuburKemarin
Honda Freed,Rp 138.000.000,2014 - 105.000-110.000 km,Kebayoran Lama2 hari yang lalu
Suzuki XL7,Rp 188.000.000,2020 - 75.000-80.000 km,Kramat JatiHari ini
Suzuki XL7,Rp 188.000.000,2020 - 75.000-80.000 km,Duren SawitHari ini
Suzuki XL7,Rp 188.000.000,2020 - 75.000-80.000 km,CakungHari ini
Suzuki XL7,Rp 188.000.000,2020 - 75.000-80.000 km,PesanggrahanHari ini
Suzuki XL7,Rp 188.000.000,2020 - 75.000-80.000 km,Kebayoran LamaHari ini
Suzuki XL7,Rp 188.000.000,2020 - 75.000-80.000 km,Grogol PetamburanHari ini
Suzuki XL7,Rp 188.000.000,2020 - 75.000-80.000 km,CengkarengHari ini
Nissan Serena,Rp 137.500.000,2013 - 160.000-165.000 km,Duren SawitHari ini
Toyota Kijang Innova,Rp 288.000.000,2018 - 40.000-45.000 km,Duren SawitHari ini
Toyota Vios,Rp 128.999.999,2015 - 130.000-135.000 km,CakungHari ini
Mazda CX-9,Rp 525.000.000,2019 - 30.000-35.000 km,Kebayoran LamaHari ini
Honda HR-V,Rp 435.000.000,2022 - 10.000-15.000 km,PademanganHari ini
Honda HR-V,Rp 207.000.000,2017 - 40.000-45.000 km,Kalideres20 Mar
Honda Brio Satya,Rp 138.000.000,2018 - 60.000-65.000 km,Pademangan13 Des
Honda Brio,Rp 115.000.000,2017 - 50.000-55.000 km,Penjaringan27 Sep
Toyota Yaris,Rp 146.500.000,2016 - 60.000-65.000 km,Kramat Jati6 hari yang lalu
Toyota Agya,Rp 85.000.000,2017 - 70.000-75.000 km,Kramat Jati3 hari yang lalu
Nissan X-Trail,Rp 57.000.000,2005 - >300.000 km,Cakung30 Okt
Suzuki XL7,Rp 190.000.000,2022 - 25.000-30.000 km,Pasar Baru06 Nov
Daihatsu Xenia,Rp 143.000.000,2017 - 35.000-40.000 km,Duren Sawit3 hari yang lalu
BMW 520i,Rp 116.000.000,2004 - 160.000-165.000 km,KembanganHari ini
Suzuki Ertiga,Rp 122.000.000,2015 - 80.000-85.000 km,JatinegaraHari ini
Toyota Alphard,Rp 410.000.000,2014 - 50.000-55.000 km,Kelapa GadingHari ini
Porsche Cayenne,Rp 650.000.000,2013 - 20.000-25.000 km,Sawah BesarHari ini
Nissan Grand livina,Rp 97.000.000,2013 - 130.000-135.000 km,Jakarta BaratHari ini
Honda CR-V,Rp 370.000.000,2018 - 75.000-80.000 km,CilandakHari ini
